Altium Designer Pick and Place Locations
D:\isntallsoft\InteractiveHtmlBomForAD-0.3.17\InteractiveHtmlBomForAD-0.3.17\Project Outputs for InteractiveHtmlBomForAD\Pick Place for JTAG_HW.csv

========================================================================================================================
File Design Information:

Date:       28/11/23
Time:       18:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C14","0.1uF","TopLayer","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","105.7770","78.5495","270",""
"Y1","12MHZ","TopLayer","Crystal:Crystal_SMD_0603-2Pin_6.0x3.5mm_HandSoldering","95.4900","94.1705","180",""
"R11","1K","TopLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","86.4730","79.9465","0",""
"R10","2K2","TopLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","102.9830","95.3135","180",""
"R9","2K2","TopLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","102.9830","93.1545","180",""
"R8","12K","TopLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","87.8700","90.8685","0",""
"R7","27","TopLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","87.8587","88.6180","0",""
"R6","27","TopLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","87.8331","86.3828","0",""
"R5","2K2","BottomLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","88.2891","82.2997","270",""
"R4","2.2K","BottomLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","104.6758","82.8040","0",""
"R3","10K","BottomLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","104.6594","85.1230","0",""
"R2","10K","BottomLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","104.6658","87.5055","0",""
"R1","10K","BottomLayer","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","104.6605","89.9566","0",""
"C15","0.1uF","TopLayer","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","91.6800","78.9305","90",""
"C13","0.1uF","TopLayer","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","87.8700","95.3135","180",""
"C12","0.1uF","TopLayer","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","109.7140","77.9145","0",""
"C11","0.1uF","TopLayer","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","107.6820","90.2335","90",""
"C9","0.1uF","BottomLayer","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","95.7973","82.0561","270",""
